college,department
College of Agricultural & Life Sciences,Agricultural and Applied Economics
College of Agricultural & Life Sciences,Animal and Dairy Sciences
College of Agricultural & Life Sciences,Bacteriology
College of Agricultural & Life Sciences,Biochemistry
College of Agricultural & Life Sciences,Biological Systems Engineering
College of Agricultural & Life Sciences,Community and Environmental Sociology
College of Agricultural & Life Sciences,Entomology
College of Agricultural & Life Sciences,Food Science
College of Agricultural & Life Sciences,Forest and Wildlife Ecology
College of Agricultural & Life Sciences,Genetics
College of Agricultural & Life Sciences,Life Sciences Communication
College of Agricultural & Life Sciences,Nutritional Sciences
College of Agricultural & Life Sciences,Plant Pathology
College of Agricultural & Life Sciences,Plant and Agroecosystem Sciences
College of Agricultural & Life Sciences,Soil and Environmental Sciences
College of Computing & Artificial Intelligence (CAI),Computer Sciences
College of Computing & Artificial Intelligence (CAI),Statistics
College of Computing & Artificial Intelligence (CAI),The Information School (iSchool)
College of Engineering,Biomedical Engineering
College of Engineering,Chemical & Biological Engineering
College of Engineering,Civil and Environmental Engineering
College of Engineering,Electrical and Computer Engineering
College of Engineering,Industrial and Systems Engineering
College of Engineering,Interdisciplinary Professional Programs (InterPro)
College of Engineering,Materials Science and Engineering
College of Engineering,Mechanical Engineering
College of Engineering,Nuclear Engineering and Engineering Physics
College of Letters & Science,African American Studies
College of Letters & Science,African Cultural Studies
College of Letters & Science,African Studies
College of Letters & Science,American Indian and Indigenous Studies
College of Letters & Science,Anthropology
College of Letters & Science,"Applied Math, Engineering and Physics (AMEP)"
College of Letters & Science,Art History
College of Letters & Science,Asian American Studies
College of Letters & Science,Asian Languages and Cultures
College of Letters & Science,Astronomy
College of Letters & Science,Atmospheric and Oceanic Sciences
College of Letters & Science,Biology
College of Letters & Science,Celtic Studies Program
College of Letters & Science,Chemistry
College of Letters & Science,Chicana/o and Latina/o Studies
College of Letters & Science,Classical and Ancient Near Eastern Studies
College of Letters & Science,Communication Arts
College of Letters & Science,Communication Sciences and Disorders
College of Letters & Science,"East Asian Studies, Center for"
College of Letters & Science,Economics
College of Letters & Science,English
College of Letters & Science,European Studies
College of Letters & Science,French and Italian
College of Letters & Science,Gender and Women's Studies
College of Letters & Science,Geography
College of Letters & Science,Geoscience
College of Letters & Science,"German, Nordic, and Slavic"
College of Letters & Science,History
College of Letters & Science,"History of Science, Medicine, and Technology"
College of Letters & Science,Integrated Liberal Studies
College of Letters & Science,Interdisciplinary Theatre Studies
College of Letters & Science,International Studies
College of Letters & Science,Jewish Studies
College of Letters & Science,Journalism and Mass Communication
College of Letters & Science,Language Sciences
College of Letters & Science,"Latin American, Caribbean and Iberian Studies"
College of Letters & Science,Legal Studies
College of Letters & Science,Mathematics
College of Letters & Science,Mead Witter School of Music
College of Letters & Science,Medieval Studies
College of Letters & Science,Middle East Studies
College of Letters & Science,Philosophy
College of Letters & Science,Physics
College of Letters & Science,Planning and Landscape Architecture
College of Letters & Science,Political Science
College of Letters & Science,Psychology
College of Letters & Science,Religious Studies
College of Letters & Science,"Russia, East Europe and Central Asia, Center for"
College of Letters & Science,School of Social Work
College of Letters & Science,"Science and Technology Studies, Holtz Center for"
College of Letters & Science,Sociology
College of Letters & Science,"South Asian Studies, Center for"
College of Letters & Science,"Southeast Asian Studies, Center for"
College of Letters & Science,Spanish and Portuguese
Division of Continuing Studies,Continuing Studies
La Follette School of Public Affairs,Public Affairs
Nelson Institute for Environmental Studies,Environmental Studies
Other / Institute,WISCIENCE (Wisconsin Institute for Science Education and Community Engagement)
Other / Standalone,Aerospace Studies (Air Force ROTC)
Other / Standalone,Military Science (Army ROTC)
Other / Standalone,Naval Science (Naval ROTC)
School of Education,Art
School of Education,Art Education
School of Education,Counseling Psychology
School of Education,Curriculum and Instruction
School of Education,Dance
School of Education,Educational Leadership and Policy Analysis
School of Education,Educational Policy Studies
School of Education,Educational Psychology
School of Education,Kinesiology
School of Education,Occupational Therapy
